,0
device,cuda
epochs,300
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,VGG19
loss_list,"[1.7580803632736206, 1.1979751586914062, 1.0024813413619995, 0.8564919233322144, 0.7865129113197327, 0.6739333271980286, 0.6353689432144165, 0.5589154958724976, 0.6102020740509033, 0.5467242002487183, 0.5139568448066711, 0.46335747838020325, 0.4636686146259308, 0.4070695638656616, 0.37771859765052795, 0.38080134987831116, 0.3636268973350525, 0.35338035225868225, 0.3399243652820587, 0.33437857031822205, 0.31100112199783325, 0.30421072244644165, 0.3448772132396698, 0.32605692744255066, 0.28902649879455566, 0.2866155803203583, 0.28545743227005005, 0.24379734694957733, 0.25967615842819214, 0.23375925421714783, 0.24683111906051636, 0.2212168127298355, 0.2235911786556244, 0.2013179063796997, 0.20455823838710785, 0.1998082548379898, 0.21000902354717255, 0.20593053102493286, 0.20378808677196503, 0.20103122293949127, 0.2287159413099289, 0.21270278096199036, 0.1624843031167984, 0.14923861622810364, 0.1466892659664154, 0.1413620263338089, 0.13977396488189697, 0.1378970593214035, 0.137923926115036, 0.13471612334251404, 0.1321745663881302, 0.1351538896560669, 0.13085207343101501, 0.12673239409923553, 0.12912113964557648, 0.1305835247039795, 0.12500672042369843, 0.12402486801147461, 0.12232242524623871, 0.12362916767597198, 0.12531280517578125, 0.12069590389728546, 0.12339679896831512, 0.1231202483177185, 0.12017481029033661, 0.11872606724500656, 0.11869346350431442, 0.12030443549156189, 0.11794722825288773, 0.1177491620182991, 0.11488837748765945, 0.11446353048086166, 0.11784502118825912, 0.11549661308526993, 0.11274073272943497, 0.11281919479370117, 0.11403457820415497, 0.11341052502393723, 0.11048845201730728, 0.10953213274478912, 0.1089477390050888, 0.11450066417455673, 0.10732591897249222, 0.10573452711105347, 0.1077931672334671, 0.10785587131977081, 0.10772217065095901, 0.10513050109148026, 0.10902485251426697, 0.10896574705839157, 0.10511500388383865, 0.10370046645402908, 0.10615095496177673, 0.1018410474061966, 0.10089108347892761, 0.10175900906324387, 0.10087095201015472, 0.10152271389961243, 0.1016903668642044, 0.09987697750329971, 0.1019650548696518, 0.10085223615169525, 0.10063726454973221, 0.09809326380491257, 0.09887341409921646, 0.09491016715765, 0.09697522968053818, 0.09814400225877762, 0.0943610891699791, 0.09476255625486374, 0.08998958021402359, 0.09550637751817703, 0.09094923734664917, 0.09471765905618668, 0.08922173827886581, 0.09001597762107849, 0.09325917065143585, 0.09018263965845108, 0.09349468350410461, 0.09292079508304596, 0.08985646069049835, 0.0850326418876648, 0.08313755691051483, 0.08245757967233658, 0.08347795903682709, 0.08124054968357086, 0.08110716193914413, 0.08223490417003632, 0.07924018800258636, 0.0826544389128685, 0.07910595834255219, 0.07923024892807007, 0.08016400784254074, 0.0823957771062851, 0.08009164780378342, 0.08184598386287689, 0.0790594071149826, 0.08223472535610199, 0.08073317259550095, 0.0806184634566307, 0.08047207444906235, 0.08105085045099258, 0.08058168739080429, 0.08136951178312302, 0.08079907298088074, 0.082134909927845, 0.08093944191932678, 0.08040908724069595, 0.08019839227199554, 0.07581961154937744, 0.07865425199270248, 0.08019533008337021, 0.08009763807058334, 0.07956095039844513, 0.0811990275979042, 0.0797753781080246, 0.07984235137701035, 0.07918816804885864, 0.08183236420154572, 0.07910440862178802, 0.08021927624940872, 0.07906880974769592, 0.08086594194173813, 0.07987959682941437, 0.07997984439134598, 0.0805329754948616, 0.07938841730356216, 0.07910588383674622, 0.07840599864721298, 0.08150468021631241, 0.07867631316184998, 0.0789988785982132, 0.0795409232378006, 0.07855895906686783, 0.07947909832000732, 0.08119301497936249, 0.0799301415681839, 0.08253402262926102, 0.07905186712741852, 0.07961206883192062, 0.08184518665075302, 0.08202388882637024, 0.0804508700966835, 0.07868016511201859, 0.07852034270763397, 0.08012411743402481, 0.07895936816930771, 0.07874362170696259, 0.07677330821752548, 0.07744758576154709, 0.07881905883550644, 0.07933042198419571, 0.07824738323688507, 0.0790419802069664, 0.08179830014705658, 0.0800613984465599, 0.07776102423667908, 0.0774657353758812, 0.08176907896995544, 0.07972897589206696, 0.08192671090364456, 0.08279243856668472, 0.08279496431350708, 0.0781552642583847, 0.08181735128164291, 0.07995059341192245, 0.07897637784481049, 0.07898230850696564, 0.08099355548620224, 0.08031518012285233, 0.08053775876760483, 0.07980222254991531, 0.07942809164524078, 0.08149150013923645, 0.07951227575540543, 0.08291938155889511, 0.08040742576122284, 0.08008219301700592, 0.07855574786663055, 0.08152235299348831, 0.07865514606237411, 0.07931698858737946, 0.08429105579853058, 0.07924304902553558, 0.07756437361240387, 0.07917828112840652, 0.08207320421934128, 0.08135555684566498, 0.07931550592184067, 0.07888665050268173, 0.08089595288038254, 0.08110816776752472, 0.0782773345708847, 0.07677575200796127, 0.08383794873952866, 0.08095337450504303, 0.08231648802757263, 0.08137768507003784, 0.07954074442386627, 0.07920347154140472, 0.08038755506277084, 0.07943380624055862, 0.07990985363721848, 0.08103630691766739, 0.08083584904670715, 0.07894910871982574, 0.07885235548019409, 0.07805553823709488, 0.08166749030351639, 0.07914060354232788, 0.08260364085435867, 0.07981055974960327, 0.08270005136728287, 0.07973382622003555, 0.08177827298641205, 0.08002148568630219, 0.07995956391096115, 0.08072452992200851, 0.07841132581233978, 0.08107192814350128, 0.08293317258358002, 0.07928165048360825, 0.08250544965267181, 0.07810025662183762, 0.08107256889343262, 0.07975741475820541, 0.08001521974802017, 0.08098636567592621, 0.0788949728012085, 0.08059771358966827, 0.08130379021167755, 0.07811938226222992, 0.08039743453264236, 0.07926387339830399, 0.08047331869602203, 0.08149947971105576, 0.0785621926188469, 0.08094247430562973, 0.07940137386322021, 0.08211218565702438, 0.07988100498914719, 0.08059734851121902, 0.08070429414510727, 0.07792495936155319, 0.07951197028160095, 0.07807683944702148, 0.07993616908788681, 0.07904868572950363, 0.0801239162683487, 0.08203734457492828, 0.08024837076663971, 0.0788688063621521, 0.08189243823289871, 0.08012878894805908, 0.07825793325901031, 0.07891154289245605, 0.08062617480754852, 0.08137480914592743, 0.08022979646921158, 0.07972311228513718]"


train_acc_list,"[53.06206967955687, 61.526116891856915, 68.17311176683751, 73.36542941450536, 75.90205518455247, 77.47062173215302, 80.12631360977377, 81.19790857793653, 78.66128280788942, 77.38779313558007, 83.80183258269918, 82.73023761453642, 86.35398871460372, 86.87684423047057, 88.15551069006574, 87.91220168763265, 89.4238235750893, 89.39276285137444, 87.72066055805767, 89.90526479266967, 90.89920795154526, 89.43417714966093, 88.84402339907854, 88.99415023036703, 89.55324325723456, 91.61878138427292, 91.62913495884453, 91.70160998084589, 91.63431174613035, 92.33317802971476, 92.98027644044107, 93.07345861158565, 93.23393901744578, 93.77232489517006, 93.29088367758969, 93.07345861158565, 93.10451933530052, 92.65931562872082, 93.03204431329917, 93.4927783817363, 91.06486514469121, 93.63772842573898, 95.15452710048145, 95.36159859191386, 95.51690221048817, 95.4288968266294, 95.59973080706114, 95.5324325723456, 95.51690221048817, 95.73432727649221, 95.91033804420977, 95.6825594036341, 95.86374695863748, 95.98798985349693, 95.96728270435368, 96.13293989749961, 96.02940415178341, 95.74985763834964, 95.85857017135166, 96.29859709064554, 96.08634881192731, 96.15882383392866, 96.1277631102138, 96.2261220686442, 96.45907749650567, 96.23647564321583, 96.39177926179013, 96.36589532536108, 96.35554175078947, 96.4280167727908, 96.40213283636176, 96.39695604907594, 96.50566858207796, 96.53155251850701, 96.48496143293472, 96.52637573122121, 96.45390070921985, 96.70238649893876, 96.52119894393539, 96.5729668167935, 96.52119894393539, 96.43837034736242, 96.4746078583631, 96.60920432779417, 96.60920432779417, 96.83698296836984, 96.723093648082, 96.6247346896516, 96.50049179479215, 96.89910441579956, 96.84215975565564, 96.91463477765699, 96.80074545736915, 96.84733654294145, 97.023347310659, 97.08546875808874, 96.90428120308536, 96.74380079722525, 97.16312056737588, 97.16829735466169, 96.87839726665631, 96.82662939379821, 96.93016513951441, 97.15794378009008, 97.06476160894549, 97.23041880209142, 97.05958482165968, 97.13723663094683, 97.04923124708806, 97.18900450380494, 97.15794378009008, 97.17865092923331, 97.31324739866439, 97.35983848423669, 96.95087228865766, 97.21488844023399, 97.32360097323601, 96.96640265051509, 97.04923124708806, 97.3650152715225, 97.24594916394885, 97.39607599523735, 97.6186778485272, 97.47890459181032, 97.55655640109748, 97.35466169695087, 97.4685510172387, 97.45819744266709, 97.55655640109748, 97.64973857224206, 97.52549567738261, 97.57208676295491, 97.63420821038463, 97.5669099756691, 97.5203188900968, 97.57726355024073, 97.48408137909614, 97.52549567738261, 97.52549567738261, 97.5203188900968, 97.42713671895223, 97.53067246466843, 97.55655640109748, 97.49443495366775, 97.58244033752653, 97.48408137909614, 97.59797069938396, 97.59797069938396, 97.58761712481234, 97.6135010612414, 97.47372780452451, 97.60314748666977, 97.55655640109748, 97.53584925195423, 97.48925816638194, 97.33913133509344, 97.40642956980898, 97.41160635709478, 97.56173318838329, 97.4685510172387, 97.54620282652586, 97.57726355024073, 97.59797069938396, 97.59279391209816, 97.63938499767045, 97.48408137909614, 97.64973857224206, 97.54102603924005, 97.46337422995289, 97.53067246466843, 97.56173318838329, 97.49961174095357, 97.57208676295491, 97.5203188900968, 97.60314748666977, 97.62903142309882, 97.57726355024073, 97.59279391209816, 97.54102603924005, 97.56173318838329, 97.62385463581302, 97.59279391209816, 97.62385463581302, 97.63938499767045, 97.55137961381168, 97.6186778485272, 97.63938499767045, 97.53067246466843, 97.6186778485272, 97.59797069938396, 97.68597608324274, 97.46337422995289, 97.63938499767045, 97.50996531552518, 97.63420821038463, 97.47890459181032, 97.63420821038463, 97.53584925195423, 97.58244033752653, 97.64973857224206, 97.57208676295491, 97.49443495366775, 97.55655640109748, 97.55655640109748, 97.53067246466843, 97.57208676295491, 97.60314748666977, 97.62903142309882, 97.6135010612414, 97.59797069938396, 97.62903142309882, 97.59797069938396, 97.5669099756691, 97.58761712481234, 97.50996531552518, 97.56173318838329, 97.46337422995289, 97.46337422995289, 97.45819744266709, 97.6135010612414, 97.5669099756691, 97.55137961381168, 97.53067246466843, 97.65491535952788, 97.57208676295491, 97.60314748666977, 97.5203188900968, 97.56173318838329, 97.58761712481234, 97.59797069938396, 97.56173318838329, 97.54102603924005, 97.59797069938396, 97.5203188900968, 97.56173318838329, 97.55137961381168, 97.58244033752653, 97.59279391209816, 97.53067246466843, 97.54620282652586, 97.55655640109748, 97.55655640109748, 97.70668323238598, 97.60832427395559, 97.58761712481234, 97.64456178495625, 97.54102603924005, 97.55137961381168, 97.57208676295491, 97.5669099756691, 97.57208676295491, 97.5669099756691, 97.52549567738261, 97.57208676295491, 97.54102603924005, 97.53584925195423, 97.58761712481234, 97.44784386809546, 97.69632965781436, 97.49961174095357, 97.62385463581302, 97.58244033752653, 97.46337422995289, 97.64973857224206, 97.62385463581302, 97.63938499767045, 97.6186778485272, 97.53584925195423, 97.4685510172387, 97.62385463581302, 97.62903142309882, 97.48925816638194, 97.60832427395559, 97.53067246466843, 97.64456178495625, 97.5669099756691, 97.48925816638194, 97.5669099756691, 97.5669099756691, 97.69115287052855, 97.59797069938396, 97.47372780452451, 97.5669099756691, 97.57208676295491, 97.54620282652586, 97.6135010612414, 97.49443495366775, 97.64973857224206, 97.62903142309882, 97.47372780452451, 97.515142102811, 97.58244033752653, 97.6704457213853, 97.65491535952788, 97.60314748666977, 97.48408137909614, 97.5669099756691, 97.48925816638194, 97.57208676295491, 97.57726355024073]"
