,0
device,cuda
epochs,100
lr,0.0001
momentum,0.9
weight_decay,1e-05
model_name,EFFICIENTNET-B1
loss_list,"[1.6113356351852417, 0.6569740176200867, 0.4132261872291565, 0.3296813666820526, 0.2846671938896179, 0.2583667039871216, 0.23749160766601562, 0.21896128356456757, 0.19663065671920776, 0.1873476505279541, 0.1829795092344284, 0.17441381514072418, 0.16967988014221191, 0.15788759291172028, 0.15650050342082977, 0.15064477920532227, 0.15312421321868896, 0.1397450864315033, 0.14411763846874237, 0.13299617171287537, 0.12731632590293884, 0.12975941598415375, 0.1326378583908081, 0.12599806487560272, 0.12313061952590942, 0.11222118139266968, 0.11602537333965302, 0.11092451959848404, 0.1088009923696518, 0.10639000684022903, 0.10826772451400757, 0.10535857081413269, 0.10519566386938095, 0.10429023951292038, 0.10376154631376266, 0.10189379006624222, 0.09717345982789993, 0.0921090841293335, 0.10070294886827469, 0.1000535637140274, 0.0941704586148262, 0.0882236436009407, 0.09277772158384323, 0.09250864386558533, 0.09128157049417496, 0.08496452867984772, 0.09062651544809341, 0.08378984034061432, 0.08495473116636276, 0.08576551824808121, 0.08264178782701492, 0.08009333163499832, 0.08081306517124176, 0.08437404036521912, 0.08503109961748123, 0.07701321691274643, 0.076097272336483, 0.07887416332960129, 0.08438727259635925, 0.08033081889152527, 0.0760236531496048, 0.07552853226661682, 0.07947944849729538, 0.07461566478013992, 0.07081635296344757, 0.07416566461324692, 0.07169906049966812, 0.07241499423980713, 0.06911830604076385, 0.07449334859848022, 0.07012833654880524, 0.06527416408061981, 0.06936612725257874, 0.0707731619477272, 0.06975807249546051, 0.06632264703512192, 0.06810249388217926, 0.06345272064208984, 0.06652487814426422, 0.06891123950481415, 0.06719963252544403, 0.06730698049068451, 0.06567719578742981, 0.07118001580238342, 0.06658858060836792, 0.06154891848564148, 0.05880122631788254, 0.05861220508813858, 0.059732601046562195, 0.05844235420227051, 0.06715124100446701, 0.0615241676568985, 0.05526156350970268, 0.058026742190122604, 0.05823823809623718, 0.05902811139822006, 0.058386340737342834, 0.05845143646001816, 0.06275511533021927, 0.05683089792728424]"
train_acc_list,"[72.43386243386244, 85.88359788359789, 89.81481481481481, 91.77248677248677, 92.66666666666666, 93.12169312169311, 93.8042328042328, 94.2010582010582, 94.42857142857143, 94.88888888888889, 95.15873015873015, 95.34391534391534, 95.67724867724867, 95.81481481481482, 96.3015873015873, 96.11640211640211, 96.08994708994709, 96.3068783068783, 96.55026455026456, 96.60317460317461, 96.66137566137566, 96.80952380952381, 96.5026455026455, 96.81481481481482, 96.70370370370371, 97.21164021164022, 96.95238095238096, 97.25396825396825, 97.18518518518519, 97.08994708994709, 97.16402116402116, 97.29100529100529, 97.33333333333334, 97.33862433862434, 97.21693121693121, 97.4867724867725, 97.60846560846561, 97.52380952380952, 97.70370370370371, 97.4867724867725, 97.65079365079366, 97.56084656084656, 97.5978835978836, 97.60846560846561, 97.61375661375662, 97.74074074074073, 97.76190476190476, 97.73544973544973, 97.87830687830687, 97.70370370370371, 97.89417989417989, 97.84126984126983, 98.01058201058201, 97.95767195767195, 98.06878306878308, 97.91534391534391, 98.03174603174604, 98.06349206349206, 97.79365079365078, 97.93121693121694, 98.00529100529101, 98.06878306878308, 98.00529100529101, 98.1005291005291, 98.2010582010582, 98.05820105820105, 98.02645502645503, 98.14814814814815, 97.96825396825398, 98.24338624338624, 98.08465608465609, 98.14814814814815, 98.12169312169313, 98.21164021164022, 98.21693121693121, 98.25925925925925, 98.23280423280424, 98.27513227513226, 98.25925925925925, 98.19047619047619, 98.08994708994709, 98.28042328042328, 98.14814814814815, 98.32275132275132, 98.42328042328042, 98.4074074074074, 98.44444444444444, 98.35449735449735, 98.5026455026455, 98.44444444444444, 98.47089947089948, 98.52910052910053, 98.48148148148148, 98.5978835978836, 98.43386243386243, 98.65608465608466, 98.62433862433862, 98.42857142857143, 98.43386243386243, 98.64550264550265]"
val_acc_list,"[81.0925925925926, 92.31481481481481, 95.07407407407408, 96.01851851851852, 96.42592592592592, 96.92592592592592, 96.87037037037037, 97.18518518518519, 97.20370370370371, 97.42592592592592, 97.48148148148148, 97.72222222222223, 97.94444444444444, 97.98148148148148, 98.01851851851852, 97.94444444444444, 98.05555555555556, 98.05555555555556, 98.01851851851852, 98.25925925925925, 98.37037037037038, 98.42592592592592, 98.29629629629629, 98.4074074074074, 98.53703703703704, 98.44444444444444, 98.20370370370371, 98.48148148148148, 98.35185185185186, 98.55555555555556, 98.72222222222223, 98.42592592592592, 98.4074074074074, 98.37037037037038, 98.42592592592592, 98.38888888888889, 98.64814814814815, 98.48148148148148, 98.55555555555556, 98.62962962962963, 98.74074074074073, 98.79629629629629, 98.70370370370371, 98.75925925925925, 98.64814814814815, 98.53703703703704, 98.61111111111111, 98.55555555555556, 98.57407407407408, 98.48148148148148, 98.51851851851852, 98.85185185185185, 98.74074074074073, 98.85185185185185, 98.75925925925925, 98.66666666666667, 98.9074074074074, 98.61111111111111, 98.59259259259258, 98.57407407407408, 98.61111111111111, 98.64814814814815, 98.64814814814815, 98.77777777777777, 98.75925925925925, 98.68518518518519, 98.68518518518519, 98.59259259259258, 98.75925925925925, 98.55555555555556, 98.62962962962963, 98.55555555555556, 98.61111111111111, 98.5, 98.66666666666667, 98.70370370370371, 98.66666666666667, 98.81481481481481, 98.85185185185185, 98.75925925925925, 98.64814814814815, 98.88888888888889, 98.83333333333333, 98.74074074074073, 98.75925925925925, 98.85185185185185, 98.94444444444444, 98.92592592592592, 98.92592592592592, 98.98148148148148, 98.92592592592592, 99.01851851851852, 98.98148148148148, 98.98148148148148, 98.96296296296296, 98.98148148148148, 98.9074074074074, 98.88888888888889, 98.96296296296296, 98.92592592592592]"
test_acc,99.14814814814815
